poverty_female,poverty_male,poverty_family,Year
390.0,322.0,32.0,2018
917.0,564.0,116.0,2018
3698.0,2436.0,614.0,2018
1480.0,791.0,237.0,2018
3337.0,3179.0,866.0,2018
5016.0,4280.0,1500.0,2018
2493.0,2725.0,495.0,2018
5858.0,4493.0,2231.0,2018
2338.0,2261.0,720.0,2018
7395.0,4671.0,2406.0,2018
4173.0,3689.0,1257.0,2018
3457.0,2443.0,1217.0,2018
3355.0,2273.0,1174.0,2018
4947.0,4089.0,1555.0,2018
2131.0,1340.0,831.0,2018
3541.0,2426.0,634.0,2018
2507.0,1494.0,830.0,2018
1121.0,580.0,202.0,2018
2765.0,2399.0,172.0,2018
4813.0,2903.0,687.0,2018
2635.0,2228.0,1195.0,2018
1563.0,1596.0,237.0,2018
2053.0,1733.0,402.0,2018
1723.0,1556.0,491.0,2018
1331.0,1162.0,319.0,2018
191.0,168.0,36.0,2018
1946.0,1404.0,288.0,2018
1442.0,1374.0,229.0,2018
1746.0,1401.0,553.0,2018
5757.0,4232.0,1915.0,2018
3717.0,2317.0,1314.0,2018
4194.0,3208.0,1249.0,2018
3983.0,3057.0,1168.0,2018
1166.0,674.0,262.0,2018
2866.0,2218.0,661.0,2018
211.0,51.0,12.0,2018
3820.0,2845.0,1128.0,2018
1014.0,658.0,163.0,2018
976.0,785.0,286.0,2018
653.0,490.0,161.0,2018
550.0,627.0,186.0,2018
1027.0,693.0,344.0,2018
756.0,382.0,248.0,2018
509.0,161.0,134.0,2018
914.0,335.0,304.0,2018
556.0,459.0,138.0,2018
195.0,319.0,78.0,2018
176.0,58.0,94.0,2018
0.0,13.0,0.0,2018
41.0,28.0,0.0,2018
2748.0,2307.0,331.0,2018
6315.0,4602.0,2118.0,2018
2510.0,1236.0,755.0,2018
264.0,193.0,69.0,2018
1317.0,786.0,305.0,2018
328.0,328.0,106.0,2018
451.0,183.0,138.0,2018
577.0,384.0,128.0,2018
127.0,212.0,112.0,2018
303.0,99.0,68.0,2018
159.0,195.0,69.0,2018
488.0,246.0,106.0,2018
839.0,743.0,326.0,2018
242.0,147.0,104.0,2018
343.0,264.0,102.0,2018
339.0,259.0,136.0,2018
0.0,52.0,0.0,2018
335.0,205.0,78.0,2018
2405.0,1375.0,776.0,2018
535.0,270.0,129.0,2018
0.0,0.0,0.0,2018
94.0,32.0,30.0,2018
2194.0,1427.0,802.0,2018
887.0,379.0,246.0,2018
157.0,96.0,59.0,2018
260.0,88.0,63.0,2018
607.0,289.0,128.0,2018
178.0,210.0,68.0,2018
569.0,240.0,170.0,2018
1053.0,788.0,285.0,2018
2233.0,2297.0,308.0,2018
1009.0,568.0,185.0,2018
605.0,577.0,169.0,2018
1753.0,1586.0,449.0,2018
0.0,0.0,0.0,2018
223.0,233.0,32.0,2018
525.0,381.0,180.0,2018
336.0,124.0,62.0,2018
97.0,70.0,29.0,2018
31.0,34.0,11.0,2018
30.0,42.0,15.0,2018
211.0,87.0,41.0,2018
292.0,272.0,119.0,2018
544.0,373.0,130.0,2018
48.0,33.0,19.0,2018
1585.0,1181.0,426.0,2018
825.0,573.0,262.0,2018
581.0,426.0,172.0,2018
877.0,562.0,264.0,2018
459.0,224.0,163.0,2018
161.0,166.0,58.0,2018
198.0,121.0,72.0,2018
439.0,352.0,184.0,2018
392.0,62.0,69.0,2018
398.0,187.0,123.0,2018
58.0,70.0,0.0,2018
140.0,66.0,24.0,2018
658.0,497.0,265.0,2018
144.0,181.0,49.0,2018
247.0,310.0,86.0,2018
78.0,81.0,0.0,2018
319.0,225.0,36.0,2018
